hs_class,text
positive,Bloon banget sih yang jadi alucard'
negative,Soeha o Dalang Segala Bencong hehe'
positive,Bubarkan KPK perkuat lembaga negara sistem politik
negative,aku begitu juga! bukan cuma nayeon tapi 9 member twice. suka ngepost di instagram story tentang mereka dan suka di bilang lesbi saya karena budak cinta banget sama twice'
negative,n... dari tubuhku yang kurus ini. walau masih muda orang itu memiliki punggung yang sudah terlihat tegap dan lebar. matanya sipit dengan dua tanda di kelopaknya dan garis wajahnya terlihat menggambarkan watak galak. n(cont.)'
positive,Pokcoy ih belum nya pacar kuuu'
positive,Indosiar (Emtek Group) selalu gembel kalau menyiarkan bola.'
positive,Penampilan serasa paling suci sedunia. Tp kelakuan kayak setan. Ga punya empati sama keluarga korban bom kmrn'
positive,"Sebenernya cebong, eh berudu, seolah ter-fait accompli...anies mencalonkan presiden atau tetap gubernur, hidup mereka tetap tidak tenang. Nikmat banget gue sudah kalau lagi begini buat mainkan cebong.'"
negative,"Udh tau kok ,pasukan nasi bungkus,yg kasihan itu mereka yang merasakan daerah khusus ibukota skrg,buat yang daerah khusus ibukota ,harap bersabar,ini cobaan wkwkwk'"
negative,Duh lebay nya.. nAnk didik soeha o katanya. Bahwa benar bob hasan itu pernah jadi menteri dalam kabinet pembangunan. Masa jabatan cuma 3 bln. 16 Maret 1998 21 Mei 1998. Bob hasan aka Mohammad h
negative,"Kecuali manusia dan monyet, semua mamalia buta warna.'"
positive,Betapa biadabnya teroris Budha myanmar ini URL
negative,rupiah haneul suka sepong kontol.yang on retweet'
negative,"Kebaca onta masa ) nMoga adik bayinya cowok ya nan, mau aku modusin hahaha'"
positive,Mampuuss ! Di tembak dalam banget silvy .. kamu uruskan itu dapur ! Gak punya program sukanya menyerang terus !!! #gue2 #DebatFinalPilkadaJKT
negative,Ngentot Dengan Seke aris Yang Se nURL #ceritadewasa #memekmerah #MEMEKBASAH #memekjanda '
positive,"Guwe anjing penasaran iya iya lah bisa ngomong, maju kamu sini garuda kuping budek'"
positive,"Bro , kamu sebut 'Kitab Suci' fiksi bera i semua agama bukan dari wahyu. Pernyataan surat pemberitahuan tahunan ini mutlak secara harfiah dan filosofis melanggar keyakinan umat beragama, konstitusi dan norma agama, kamu ini penista semua agama yang paling kotor! #AtheisDete"
positive,Sontoloyo dan sok paling bener... mungkin dia iparan sama allah subhanahu wa taala '
negative,"Akibat putus cinta, sahabat sendiri dientot juga yang penting sama sama lubang toh lebih rapat bool daripada memek '"
negative,deklarasi pilihan kepala daerah 2018 aman dan anti hoaks paguyuban budidaya lele jabon
positive,"Ahok di lantik gubernur.... bukan anis, anis tidak pantas jadi gubernur"
negative,"Pd tahun 780, agama Buddha sudah cukup kokoh dalam peradaban masyarakat pada masa itu, hingga mampu membangun candi yang amat luas, Candi Sewu. (prambanan?) nPd waktu yang bersamaan penganut agama Hindu di Utara juga membangun candi ya tak kalah besarnya,"
negative,"Selain ntu, saya hendak berkata begini nTidak harus keras dilawan dengan keras sepe i Kung Fu. Kadang kita perlu pakai Tai Chi, kelembutan dengan mempergunakan kekuatan lawan.'"
negative,Mulut buaya dia mah'
positive,Kalo mau buat hoaks yang pintar sedikit dong...udah dungu jangan bego...kasian nanti pengikut nya ikutan dungu dan tolol x
negative,Urusannya duit. Siapa dapat apa. Kalau nanti hitungan bisnisnya pemerintah Indonesia untung ya kita tepuk tangan. Kalau buntung ya risiko punya rezim model gini. Tapi itu nanti. Setelah ketahuan harganya. Janjinya harga wajar. Wajar buat siapa?'
positive,Jadi ini ada plakat begitu isinya kerja sama antara polisi indonesia sama polisi tionghoa. Tapi menurut penjelasan polisinya itu mereka tolak karena harus ke mabes. Tapi lihat fotonya malah sudah kayak selamatan gitu'
positive,BELA IBU ASMA DEWI SEBAGAI BENTUK SOLIDARITAS ATAS KEKEJAMAN REZIM ANTI ISLAM . URL
positive,tolol itu banyak yang bela penista agama walau sudah tersangka
negative,Waini kurang minum kopi luwak biar tidak deg degan alias kocak sih pak bolotnya pas depan congor '
positive,"Hasil Akhir, Menyatakan Melindungi Ahok TERDAKWA PENISTA AGAMA !!!"
positive,Cie..ada mau yang narik-narik Gatot Nurmantyo bersaing dengan Jokowi nih...gak pas lah TNI aktif loh..Kalau buat 2019 Prabowo mau ditinggalin?
positive,Nga usah debat sama para kampret karena otaknya sudah di rendam kencing onta'
negative,Khofifah merupakan Srikandi NU yang pantas menduduki kursi Gubernur Jatim 2018 dengan didampingi Emil Dardak sebagai Wakil BaGusS #KhofifahEmilJatimSatu
negative,"berawal dari pikir nyeleneh kenapa Tuhan ku ciptakan anjing dan babi yang jelas di kitab Ia mengharamkan kedua nya, bahkan untuk babi, menyentuh kulit nya yang basah saja sudah termasuk haram. Akal ku belum sampai kesana, mungkin aku kurang baca.'"
positive,"Itu semalam di juga ada banyak PCK , pekerja cocot komersial.'"
negative,{mu} kenapa gue mengikuti beritanya bencong-bencong itu yaelah'
negative,"Tomohon juga merupakan pusat pembelajaran agama Kristen dan Katolik. Ada tempat khusus untuk berdoa dan meditasi yang disebut Bukit Kasih, sebuah tempat suci yang indah dan tenang. #TomohonInternationalFlowerFestival nNor'"
negative,"Kalau cuma soal melokalisasi agama, NU sudah kalah kreatif dengan Kristen (Protestan) di Indonesia. Ada Kristen Jawa, Batak dsb. -p'"
positive,#IklanAhokJahat bikin darah mendidih. bangsat penuh dengan propaganda. memang kamu kira islam radikal ?Kalau kami mau
negative,"PBB pandangan saya naik secara signifikan , paling bagus pasangan presiden incumbent melawan Gatot Nurmantyo &amp Yusril"
negative,"Gaes Hanya Presiden yang blusuk an dihampir seluruh pelosok Negri ini. Jokowi mendengar langsung Keluhan dan Keinginan warganya se a mengecek sendiri Program Pemerintah Nih video Pemimpin yang Duduk sama Rendah, Berdiri sama tinggi bersama R"
negative,"__-__ Warga Baduy setelah selesai memperingati tradisi Seba di Pendopo Pemkab Lebak akan dilanjutkan kembali be emu dengan Gubernur Banten Wahidin Halim hari ini, Sabtu (21/4) #SebaBaduy2018"
positive,Setan sih kamu ya'
negative,Gwe lagi celeng tidak bikin synNa esmosi. Jangan mancing dong'
positive,Kenapa cebong kelojotan dengan takjil #2019GantiPresiden .. nKalo kalian waras buatlah takjil yang sama bukannya mengamuk mengamuk tidak karuan. nGiliran presiden di hina kalian mingkem.. n#2019GantiPresiden n#2019GantiPresidenKacung'
positive,Kampang memang'
positive,rezim tukang nipu. hoaks . anti kritik'
positive,"Cebong kurang kopi eta mah... nHarga harga naik, mengakuinya masih bisa beli.. padahal adalah berutang '"
negative,Para tokoh politik yang berseberangan sama pemerintah semakin berani bicara kasar jauh dari etika sih prabowo berani bilang elite goblok siapa yang dia maksud.anda sekolah dimana oi sampai kapan pun anda tidak akan jadi presiden.anggota dewan sudah berani bilang kementerian agama bangsat.'
positive,"Cara berpikir bayi tabung perpaduan sperma KAMPRET dan ONTA.., jangan pernah diragukan lagi.'"
negative,monyet yang di sumber juga masih pada hidup tuh '
positive,"Kata cebong nAh.. telur naik cuma 3000an saja berisik, dasar kampret miskin... '"
negative,"Selamat sore tweeps. Hari ini (18/4), Presiden Jokowi memimpin Rapat Terbatas #ratas di Istana Kepresidenan Bogor, Rabu (18/4) membahas mengenai Percepatan Pelaksanaan Berusaha (Online Single Submission/OSS). Berikut beberapa poin arahannya. Simak ya "
positive,Gimana menyelesaikan kasus impor alat utama sistem pe ahanan brigade mobil ini pak ? Kl tidak mampu mending mundur sajalah pak URL
negative,"Aww good luck, aku suka pusing kalau bahas budaya populer ')"
positive,Nama Gatot Saptono a.l Al Khaththath Status Tersangka Kasus Pemufakatan Makar (dugaan) Pendukung Anies Sandi
negative,"Jelang Pilkada, Pemkab Garut Kebut Cetak 116 Ribu e-KTP"
positive,Yeeee... Indonesia hebat. Indonesia dibanjiri Tenaga Kerja Asing. Pk Jokowi Kren deh. Top banget. Kalau bisa Presiden Seumur Hidup.??? Ayo dukung Jokowi Balik Ke Solo #2019GantiPresiden
positive,anjing-anjing Orde Baru kayak memang tukang NGIBUL.kgk malu mengaku Ustadz?
positive,Indosat eek'
negative,"Di Maiyah tidak ada keamanan tapi selalu aman, karena masing-masing setiap diri yang hadir di Maiyah adalah prajurit keamanan. Kita selalu belajar saling mengamankan, menyamankan dan membahagiakan. #MSApril"
negative,"nggak, terlalu berlebihan, cukup butuh presiden yang tidak takut miskin apa a,hilang kuasa dan tahta!"
positive,"Ayat apa yang dingajikan? Perintah perangi, bunuh, dan penggal kafir?"
negative,yang komunis itu siapa'
negative,
negative,"Melalui Sedulur Ngaji semoga ALLAH izinkan Gus Ipul,Mbak Puti jadi Gubernur dan Wagub Jatim"
positive,Puisi Sukmawati puisi sang iblis'
negative,Yeuh kunyuk'
positive,Yang ada di otaknya tentang kesetaraan gender cuma telanjang. Dasar mesum cacad.'
negative,PADA JAMILAH? IH AISYAH NYA LESBI #IOIXONEMAKRAB'
negative,"Bismillah, superiorPRINTING Harga Ecer LGNpolos135k,Print seratus empat puluh lima ribu Lusin LGNpolos 120k,Print130k Bahan Serena ,Drifit, PE sp Info order Pin. 5FD97626 Wa. 081210090063 IG . sri yono #bolanet #pilkada #Jersey4Sale #Jersey #GoesToFestivalTamb"
positive,udik benar kasian. mau ditidurin?'
negative,"""Saya hari ini menyaksikan, mulai dari petani, masyarakat, ulama, dan pemerintah mendukung program #KapalKemanusiaan untuk Suriah berupa 1.000 ton beras."" - Ahyudin, Presiden ACT. Yuk, simak penjelasan lebih lengkapnya dalam video berikut! ) #LetsHe"
positive,"kenapa mesti diproyekkan ke asing?? katanya nasionalis, pancasilais....koq pilih asing. jangan-jangan antek asing nih....."
positive,Itu a inya bacot lo'
positive,ternyata Tol berutang ke Jepang... lewat 3% jokowi layak di makzulkan.. Turunkan Jokowi...
negative,"Akulturasi suatu agama di suatu daerah adalah keniscayaan, sepe i juga Kristen di Jawa yang berjalan berbarengan dengan tradisi Jawa. Tapi kenapa tidak ada istilah Kristen nusantara? Kristen adalah Kristen, Islam adalah Islam, penyebutan Isl"
positive,Anda mengajarkan mengaji ayat cocok cocok penis dan penggal kafir dapat pahala? Anda membiadabkan
negative,Kirim foto kontol kalian yang full. n.... kalau te arik kita vc'
negative,"jangan sombong tau hey.. manusia itu sumber bau diantaranya bau kaki, bau itu, bau udel, bau ketek, congean, korong, cileuh, bau kepala dan (bau mulut bau karbit, jengkoleun, comberan, dan bangke)'"
negative,melayani 2 kontol security di meeting room... for the video.. URL
positive,"Anjing tai goblok idiot bangsat monyet babi fucc, kont, ngents, goblok. nIya tau kasar banget maaf'"
positive,"KNP MENANG YA ANIES,SANDI? Hrs USUT KPU DKI,WALAU TELAT!DR AWAL SDH banyak YG G WAJAR!KAMPANYE,INTIMIDASI2!DLL"
negative,sudah gue tinggal beli batagor sampai balik lagi belum mulai anjir ngaret amat'
negative,E N G G A K. sudah itu ingin gue mute anjir'
negative,Wah bawang nya asing nih gan'
positive,Mampus kamu anaknya langsung nongol'
negative,"""Bisa tidak oum, buat mendapatkan jodoh.?"" nNtu adalah pakai pelet Jepang saja dek. Lebih effektif. nHonda beat dengan Honda Jazz itu b '"
positive,"Anda berpeluang menjadi tokoh perubahan Pak Lukman, jelaskan Hidup untuk Allah SWT sesat."
negative,sini. Om jilati memek nya. Mau nggak'
negative,"anjir..... ngue mengecek berkali kali buat memastikan itu cewek benaran apa cowo, siapa tau tipuan kayak video yang lain, ternyata asli cewek nterlepas dari gender, tetap enggak benar sih astaga semoga adek gue tidak begini, aamiin.'"
positive,niklan BEGO buatan pak ai BEGO untuk pemilih BEGO'
negative,", tambah acak acakan . Ntar lagi ada pahlawan kesiangan. Yg gagalkan kudeta PKI saja tidak pakai gelar pahlawan.'"
positive,Kubu Prabowo Selalu Menilai Negatif Kebijakan Jokowi pemilihan presiden 2019 URL
negative,mau dong ngewe kayak gitu'
positive,kampang kamu anj'
positive,Mbak tidak ikut meeting? n Katanya tidak apa apa tadi nLha bera i tadi diajak meeting? Disuruh? Tapi sih belum diam saja kayak patung. nMiskom. Somplak. '
negative,"Biaya ambil alih mayoritas saham (51%) PT FI ~US$5 miliar minimum, dari utang kepada perbankan asing. Itu belum lagi sebagai pemegang saham mayoritas harus taro duit untuk bangun smelter pemurnian pembangkit listrik, belum lagi biaya Deep Cave Mini"
negative,Anies Ombudsman Perwakilan itu TIDAK SAMA dengan Ombudsman Republik Indonesia. Ingat2 itu ya! nOmbudsman RI Ombudsman Perwaki '
positive,Lebay benar duda ini ya?
negative,Presiden Keluhkan Minimnya Publikasi Asian Games XVIII #AsianGames2018
negative,"Angkat Tradisi dan Budaya, Rakyat Banyuwangi Kunci Kesuksesan BEC 2017"
positive,Ohh iya iyakan dulu pas ada acara di Tempo yang mewakili tim sukses Anies-Sandi kan sih Indra J Piliang wkwkwk. Tukang narkoba
positive,Cowo yang hobi swafoto itu tidak ada beda nya sama lekong &amp banci kaleng'
positive,"Anda salah menyebut keberserahdirian, Bapak Menteri Agama, itu ekspresi Tuhan Datang MELAYANI bukan meminta di-sembah2"
positive,Sudah tak bisa dipungkiri lagi rezim jokowi adalah rezim anti islam.
positive,"cebong kampret bilang yang penting infrastruktur jalan truz, tidak apa"" yang lain mahal dan naik '"
negative,"Di Amerika, diketahui sekitar 200.000 orang setiap tahunnya pindah dari agama Kristen ke agama Islam."
positive,namanya juga sandirawa para pecundang. Bubarkan saja kalau cuma urus kasus ecek ecek tidak berani urus BLBI RSSW dan lain lain
negative,"Giat Bhabinkamtibmas Aiptu Ma in Sembiring menyambangi thomas dan masyarakat desa Labuhan Labo, memberi pesan kamtibmas, anti berita hoa isu sara dan ujaran kebencian se a jaga persatuan, kebersamaan situasi aman tenaga kerja asing demikian dilaporkan URL"
positive,kenapa orang orang sumbu pendek enggak protes ke Prabowo yang menolak adanya pemberian sumbangan terhadap orang-orang Rohingya ya
positive,"TOLAK PERPPU TOLAK REZIM OTORITER, PERPPU PINTU MASUK LENGSERKAN JOKOWI"
negative,jadi anda masih sama. gagal paham mengenai kegagalan merangkul. saya dari tadi cuap cuap percuma. anda gagal paham. contoh kelompok yang mana? 212 kemarin presiden aman aman saja tidak di saat
positive,"wkwk mampus kamu jung, ruby'"
negative,Tong kemana waktu pak presiden dihina'
positive,kalau boleh saya berbicara ingin saya katakan ahmad dhani monyet babi anjing. tapi itu tidak boleh
negative,Cinta buta itu cinta yang tak mendengar dan melihat fakta yang ada sepe i kotoran kucing rasa coklat. Sependapat tidak prof?'
positive,mampus lu. kalah kan lawan gua'
negative,ya anjir salah tag wkwk apaan kamu gue jennie zumi lisa wkwkwk'
negative,"Apes beneeeer... dapat jadwal shift pagi cuma 4 hari. Besok off, lusa shift malam sampai Sabtu depan !! Badan makin cungkring, ampuuuun... Zzzzzz'"
negative,"Koruptor dan teroris pelanggar HAM berat....koruptor membunuh rakyat dengan pelan...membikin rakyat miskin...bodoh dan kehilangan haknya dengan struktur dan sistematis...rakyat masih banyak yang kekurangan gizi dan kelaparan, DPR malah sibuk korupsi..."
negative,Saya setuju siapapun yang dipasangkan dengan jokowi Dan saya setuju untuk tidak mencoblos pasangan tersebut
negative,"tiba-tiba membatalkan keputusannya. Sikap Syahrir berubah setelah dicegah oleh Tokoh Pa ai Tionghoa Indonesia, kata Teguh.'"
negative,"bunga melati dan bunga bangkai kalau bisa berkata, bagaimana ya?'"
positive,dibubarkan &amp diusir ke Yordania
negative,Presiden Minta Sistem Perizinan Berusaha Terintegrasi Segera Diterapkan #ratas â?¡ï¸? â??Presiden Minta Perizinan Berusaha Terintegrasi Segera Diterapkanâ?? 
positive,memang ahok siapa?? Orang penting?? Dia hanya penista agama!!
negative,Ga nge i gue nikmatnya dimana orang orang yang sengaja ikut desak desakan diangkutan umum demi menyenggol bokong doang.'
positive,"Bacot reza, uruskan saja anak istrimu itu! Etapi gara gara reply anda saya jadi galau lagi '"
negative,lah sudah gue sipit sipit mata barangkali warnanya beda'
negative,"Sebelum memasang jepretan atau racun tikus, coba perhatikan, apakah di dalam rumah banyak sisa makanan berserakan atau sampah berceceran? Bila ya, jangan heran kalau tikus-tikus berkeliaran. Tikus masuk ke rumah karena te arik bau makanan, bukan mau non"
positive,"Tuh kan dungu, kalau km make gelang itu dan ada di TKP ikut intimidasi secara langsung km terlibat. Gelang itu baru dugaan sebagai bentuk konspirasi.'"
negative,"Disebut Kampungan Oleh Nagita Slavina, Begini Reaksi Ayu Ting Ting URL"
negative,"Aku pacaran tidak pernah sama yang se agama malah sama yang muslim, hindu, buddha lucu yaa'"
positive,Tragedi 98 ternyata juga salah satu upaya komunis oleh prabowo
positive,Nah kamu tau sendiri jaman megawati korupsi nya sedikit jaman susilo bambang yudhoyono banyak URL
negative,Siapa pasangan calon Gubernur dan Wakil Gubernur yang unggul dalam #iNewsDebatKandidat #JawaTengah malam ini? - atau - ?
positive,"Bapak Prabowo yang ""TERHORMAT"" Haruskah anda tampil sepe i orang yang cemburu dan kalah ?"
positive,kalau jokowi tidak bisa diingatkan... mundur saja jendral.. bantai dia tahun 2019 lewat pemilihan presiden
positive,peang kesayangan kecintaan bolot sok pintar padahal lebih lemot dari gua'
negative,Sarap bro'
positive,"Terlihat salah satu pendukung mafia koruptor dan penista agama, para gerombolan BANCI TITOT lakukan bidikan ke arah"
positive,Makin ngawur saja nih rezim..... Nanti jadi indonesia cina sudah nih negara'
negative,Retweeted UUS RUSDIANA #CiamisAsyik ( ) Saya dari #Ciamis salah 1 kabupaten di Jawa Barat mendukung Gubernur kami Kang menjadi presiden/wakil presiden RI. Bila ternyata keputusan MS yang PKS sbagai...
positive,"Perbedaan banget sama Adi. nKalo Adi mah, n""TUH KAK, LIAT! GUE BILANG JUGA APA DIA BRENGSEK!"" nYha. URL"
positive,Pantesan pa ai politik sih anu berusaha keras menjegal pengesahan UU ini yaa. Tapi takut juga presiden mengeluarkan Perpu. Menarik melihat cara presiden kasih ancaman. Lgsg diam dan ketok palu tok tok tok'
positive,"Ah bacot, dasar sok alim lu. Manusia itu tidak ada yang sempurna. Jangan sok alim jadi orang.'"
positive,"Gembok akun saja udah..gak usah tebar data..berkali kali main data,lo tidak bisa jawab data gembok akun.. nSehari 2 kali gembok akun... nPayah cebong cupu..'"
negative,"Nyo,lu sipit ga? Klo iya bikin grup ber3'"
positive,intinya pas kampanye koar koar akan menghentikan tetapi sekarang melanjutkan dengan menerbitkan peraturan gubernur baru...munafik km pantas dibilang KAMPRETOS'
positive,"kadang yang kemarin sudah follow, hari ini jadi pengikut baru. kan te ara ya di unfoll, tetapi follow lagi. geblek apa bagaimana sudah itu manusia'"
negative,11.42 SItuasi lalu lintas Jl Gatot Subroto di depan Gedung MPR/DPR arah Slipi terpantau ramai lancar.'
negative,Ini makan siang mi ayam lagi dekat kampus sambil bapak yang jual melayani menonton bareng jojo nHalah kesalip nHalah nHalah '
positive,"Ternyata Yg katanya....katanya ""hafizh"" (gak tau benar apa nggak) bisa jadi CEBONG JUGA.'"
negative,ngentot yu yang rl nya sangean'
negative,"jam segini sudah ganti baju gembel rumahan, tandanya sudah tidak ingin kemana-mana lagi'"
negative,"Apa yang km lakukan itu tidaklah patut km lakukan , karena itu urusan pribadi masing masing , jika ada masalah di sel '"
positive,Betul. Ayo penjarakan koruptor sumber waras.
positive,semua sok peduli ROHINGYA
negative,blur kampret'
negative,"Kata cewek ""Semua Lelaki itu nbrengsek"" Nah guys kalau kamu brengsek nberbanggalah, Bra i kamu laki.'"
negative,"Rupiah anjlok karena ulah kalian kalian selama hidup tidak bisa menerima kebaikan,selalu buat isu negatif , contoh isu PKI pada saat ta mnesti,wslm'"
positive,Diam kamu kampang saya sedang sakit kepala'
positive,Bera i tidak sala cebong pintar2.. nNa kalau sih KAMPREET gimna.. nDari dulu tidak maju maju cuma otak udang di pakai gede badan doank.. wajarlah kalau petinggi petinggi kampret pinda haluan
positive,PDIP dan mega mau bangkitkan komunis lagi itu
negative,"Ketika sadar bahwa ada cacat dari hasil kerja tim dan besok adalah D-Day. It's time to sleep guys"""
negative,babi apa sialll'
negative,"Kalau income negara dari berbagai sektor bagus, a inya negara punya uang, tentu Jokowi tidak akan berhutang untuk membangkitkan ekonomi bangsa. Kalau sampai terpaksa berhutang, tentu pemasukannya tidak bagus. Simple kan? ð???"
negative,Siapa bilang di kristen tidak ada wudhu?'
negative,"Nyetir apaan. Orang mobil di depan saja tidak bergerak, idiot. nWindy semakin kesal karena Yoga yang sangat tidak peka akan kondisi perutnya saat ini. Ia lalu diam dan menatap ke depan.'"
positive,Congornya persis congor onta. '
positive,LO TUH BABI ANJING. Mampus kalah jatuh miskin deh bekasi sah
negative,Presiden UEFA Beri Dukungan terhadap Pengusiran Gianluigi Buffon oleh Michael Oliver
negative,DPR as a Service'
negative,"Wahai Warga Jateng, janganlah kalian lupakan ini. #2018GantiGubernur #SudirmanIda ð???"
negative,"Anda saja yang hampir lupa, Saya masih ingat ! Gereja saya yang di Bom ! nsudah 2 minggu ini masih takut dan memilih tidak beribadah.'"
positive,"Tapi pelatih kamu ribet kang, bacot mulu kerjaannya x8"
negative,Setahu saya karena Moestopo itu dulunya kuliah di Rusia dan waktu pulang ada huru-hara PKI sehingga ia menambahkan kata beragama di belakang nama. Ingatkan jika salah.'
negative,"Salam ustaz...nak tanya...apakah hukum Kalau dalam bab jual beli seharian kita... Pembeli dan penjual tak sebut akad sepe i ""saya jual"" dan ""saya beli""...."
positive,Mending jokowi yang mundur URL
positive,#ThomasUberCup2018 ada sih re eek'
negative,"Kata-kata 'bodoh' 'dungu' dan 'idiot' semua secara teknis mengacu pada seseorang dengan nilai IQ di bawah 70. #Psikologi"""
negative,"Mengenai beking ini sangat menarik, Apakah itu benar ibu . dan adakah solusinya untuk memberantasnya ??. nPercuma menurut sya, nelayan asing di tenggelamkan, Sedangkan Nelayan kecil kita kalah dan tersingkir dengan pengusaha"
negative,Woey jangan. Maho nih'
negative,"Gembel saja bisa kalau cuma fatwa bigitu. (Tabi')"""
negative,ABG SMA Sange telanjang Masturbasi n#bokepindo #cumtribute #engas #memekbecek #bugil #ahok #bokepbarat #CewekSeksi #pasu '
negative,"Matanya terpejam, menunggu tamparan yang akan ia terima. Namun, bukan tamparan, melainkan sebuah suara asing seorang laki-laki masuk dalam pendengarannya. ""Eeeeeh mau ngapain?"" n Arra membuka"
positive,harusnya yang mundur jokowi
positive,Pa ai sompret ini bakal bubar sendiri. Siapa yang mau pilih?'
negative,Sini queen aku coba memek kamu'
negative,"PREDIKSI POLAND nKAMIS, 29/03/2018 nAS5 6 3 2 nKOP1 4 7 9 nKEPALA8 2 0 5 nEKOR6 3 1 4 n2D86 23 01 54 83 21 04 n3D965 &amp 451 nCB n8 &amp 4 nCM31 62 45 nSHIOAYAM &amp MONYET nTWIN11 33 88 nBBFS7 4 1 9 5 URL"
positive,Jgn salah itu janji jokowi yang di tuntut. Lu saja yang tidak paham cebong'
negative,"#kom3 menteri hukum dan hak asasi manusia mengenai md3, memang benar hak imunitas itu ada. Pernah ada perdebatan undang undang pilkada, sudah ketok palu, namun pendekatannya presiden sudah mengeluarkan perpu. Namun md3 ini presiden tidak mengeluarkan perlu tetapi tidak mau tandatangan. Sy kira"
negative,Beberapa merek itu bukan punya yahudi/israel/US. Kalaupun punya saham biasanya owner tetap punya saham terbesar. Kalau istilahnya suppo ke pihak te entu ya tidak tahu sih.'
negative,"Ajarannya harusnya sama. Sama2 bersumber dari kitab Weda. Bisa jadi juga beda tafsir. Tapi secara umum 5 dasar kepercayaan sama percaya brahman, atman, karma, reinkarnasi dan moksa. nKl ritual, hari raya, cara sembahyang kebanyakan"
positive,Bilangnya tidak penting tetapi kamu baca dan kamu bilang seru juga. Halah pengirimnya kampang'
negative,"Apakah suatu negara terus akan ada perang jika didalamnya ada orang orang munafiq, syiah, komunis yang ingin berkuasa?'"
negative,Bom saja di peluk..masa kamu tidak '
positive,Cowo berengsek semua ya'
positive,turunkan Jokowi. Rezim ini sudah mengorbankan Ahok
positive,DRIVER OJEK KLO NEMUIN KELUARGA INI ORANG PESEN OJEK -&gt LANGSUNG TABRAK AJA. BACOTNYA SEOLAH2 TUKANG OJEK ITU HINA BANGET.'
positive,Gw kira gue doang yang diginiin. Tahunya ada yang lain juga. Bangke memang mereka ini sinyalnya. Mau ganti telkomsel tetapi saya orang miskin.'
negative,Kami sejak pe sama rezim ini mengeluarkan kebijakan itu sudah memprotes nya hanya saja penguasa yang pura pura tidak mendengar atau memang tidak paham kami sudah mengkritisi sejak tiga tahun lalu sampai saat ini berbagai macam cara a
negative,Wkwk najis gue memilih oke juga lihat lihat dulu kali'
negative,Memang Jabar terbaik. Mudah2an meningkatkan ekonomi masyarakat disekitarnya #CongratulationsGeoparkCiletuh #Congrats
negative,Pnh kerja di asing bermanfaat juga diterapkan di sekolah yang dominan aras2en.'
negative,Hari ini resmi mendapat izin program studi S3 Islam Nusantara. Satu-satunya program studi S3 dengan konsentrasi Islam Nusantara di Indonesia.
positive,tidak terpilih lagi nih kalau mencalonkan presiden
negative,"Negara ekonomi besar surat pemberitahuan tahunan RRC, US, Jepang saja masih utang kok kita sewot kalau RI ngutang. Klu ada yang berani beri utang bera i negara kita dipercaya mampu mengelolanya."
positive,"yang beda paham harus di kuliti/Tangkap, itu sih cina"
positive,bera i benaran Cebong dong yak... Wkwkwkakak... Dasar iq200sekolem..!'
positive,Ente saja tidak sukses bajingan.'
negative,"Berbeda dengan institutionalized religion atau agama yang sudah diarusutamakan, kultus ini semacam enggak punya kontrol te entu untuk memastikan mereka baik baik saja. Untuk agama arus utama, islam misalnya, ada MUI yang menjaga supaya mereka enggak jadi sesat."
positive,Pak sehat? Jalan-jalan Pak... Yang aktif begitu lo menebar kebaikan sepe i Presiden RI. Jangan manggung di kandang terus. Ngga bosan ketemunya Fadli Zon aja?
positive,"Bagi Jokowi yang penting membuat pencitraan dulu karena pemilihan presiden sudah dekat, perkara harga saham kemahalan dan ada poin poin prinsip yang belum disepakati dll, itu urusan nanti setelah pilpres. Metode kerja rezim Jokowi kan sepe i itu.'"
negative,"#ArahBaruIndonesia adalah menjadikan Indonesia menjadikan kekuatan ke-5 dunia di bidang Ekonomi, Teknologi, dan Militer. Dari ketiga bidang tersebut, minimal Indonesia menempati peringkat ke-5 dunia. Mari dukung menjadi Presiden RI 2019-2024."
negative,Ewean cuma percepat desahan doank? Ngewe saja sama knalpot kendaraan.'
positive,nasib cebong baik baik saja karena semua itu mimpi buat orang orang otak berak kayak lu'
negative,Dasar cebong.. hih! xa
negative,#Freepo 51 Indonesia itu kayak raya. Jangan sampai dimanfaatkan pihak asing kekayaan kita'
negative,Celakalah SukmakuMati tiada aku menge i Syariah hidupku ssat nCelakalah SukmakuMati auratku yang terurai menampakkan buruknya wajahku nCelakalah SukmakuMati nyanyian genjer genjer yang aku suka mendatangkan Iblis disukmaku nCelakalah SukmakuMati azan tidak bisa mengusir Iblis disukmaku. nSukmakuMati'
negative,CCD ANJIR NAMA GUE YG DULU KEPANJANGAN KEK RAMBUT LIMBAD'
negative,"oh cuma"" gara"" beda pendapat langsung di pecat ya, kalau begitu rejim sekarang anti kritik dong ,tdk mau ada masukan dari luar parlemen'"
positive,Emang mereka yang ingin nikah muntah depan congor lu? Pake acara Jijay jijay. nMampus disalty-in'
positive,tolol! Die tidak ada sangku pautnya! Ngapain kamu bilang pengecut?dasar tolol'
positive,Ini adalah budek sih gendut '
negative,"Melokalkan Brand global itu bukan sesuatu yang baru, terjadi sejak lama dan di berbagai bidang. nDalam hal agama, Indonesia punya Hindu nusantara yang cukup berbeda dari Hindu dunia, nApakah Hindu nusantara membuat Hindu dunia lemah? nTidak, Hindu dunia berkem"
negative,China Janji Kebut Proyek KA Cepat Jaka a-Bandung - ekonomi
